FLIGHT_DATE,PAIRING_POSITION,EQUIPMENT,n_bid,n_reserve,workload
2023-01-18,FO,717,29,18,0.62
2023-01-19,CA,321,31,18,0.58
2023-01-19,CA,332,44,26,0.59
2023-01-19,CA,717,34,16,0.47
2023-01-19,FA,NA,526,349,0.66
2023-01-19,FO,321,30,18,0.6
2023-01-19,FO,332,43,30,0.7
2023-01-19,FO,717,33,20,0.61
2023-01-20,CA,321,30,18,0.6
2023-01-20,CA,332,42,25,0.6
2023-01-20,CA,717,32,14,0.44
2023-01-20,FA,NA,507,340,0.67
2023-01-20,FO,321,30,19,0.63
2023-01-20,FO,332,44,29,0.66
2023-01-20,FO,717,33,20,0.61
2023-01-21,CA,321,31,13,0.42
2023-01-21,CA,332,42,18,0.43
2023-01-21,CA,717,28,15,0.54
2023-01-21,FA,NA,519,326,0.63
2023-01-21,FO,321,30,18,0.6
2023-01-21,FO,332,42,33,0.79
2023-01-21,FO,717,27,16,0.59
2023-01-22,CA,321,31,13,0.42
2023-01-22,CA,332,41,15,0.37
2023-01-22,CA,717,27,13,0.48
2023-01-22,FA,NA,498,321,0.64
2023-01-22,FO,321,30,18,0.6
2023-01-22,FO,332,42,31,0.74
2023-01-22,FO,717,27,16,0.59
2023-01-23,CA,321,31,14,0.45
2023-01-23,CA,332,42,26,0.62
2023-01-23,CA,717,33,13,0.39
2023-01-23,FA,NA,522,329,0.63
2023-01-23,FO,321,30,19,0.63
2023-01-23,FO,332,43,31,0.72
2023-01-23,FO,717,33,18,0.55
2023-01-24,CA,321,31,18,0.58
2023-01-24,CA,332,41,27,0.66
2023-01-24,CA,717,29,12,0.41
2023-01-24,FA,NA,507,318,0.63
2023-01-24,FO,321,30,19,0.63
2023-01-24,FO,332,41,30,0.73
2023-01-24,FO,717,28,17,0.61
2023-01-25,CA,321,30,17,0.57
2023-01-25,CA,332,44,27,0.61
2023-01-25,CA,717,29,11,0.38
2023-01-25,FA,NA,499,317,0.64
2023-01-25,FO,321,30,19,0.63
2023-01-25,FO,332,46,27,0.59
2023-01-25,FO,717,28,17,0.61
2023-01-26,CA,321,29,17,0.59
2023-01-26,CA,332,46,26,0.57
2023-01-26,CA,717,33,13,0.39
2023-01-26,FA,NA,538,326,0.61
2023-01-26,FO,321,29,21,0.72
2023-01-26,FO,332,45,30,0.67
2023-01-26,FO,717,33,18,0.55
2023-01-27,CA,321,27,17,0.63
2023-01-27,CA,332,43,24,0.56
2023-01-27,CA,717,33,14,0.42
2023-01-27,FA,NA,515,323,0.63
2023-01-27,FO,321,27,20,0.74
2023-01-27,FO,332,43,32,0.74
2023-01-27,FO,717,32,21,0.66
2023-01-28,CA,321,31,16,0.52
2023-01-28,CA,332,44,15,0.34
2023-01-28,CA,717,29,12,0.41
2023-01-28,FA,NA,522,311,0.6
2023-01-28,FO,321,30,19,0.63
2023-01-28,FO,332,46,30,0.65
2023-01-28,FO,717,29,19,0.66
2023-01-29,CA,321,30,16,0.53
2023-01-29,CA,332,42,17,0.4
2023-01-29,CA,717,28,13,0.46
2023-01-29,FA,NA,503,326,0.65
2023-01-29,FO,321,29,23,0.79
2023-01-29,FO,332,42,31,0.74
2023-01-29,FO,717,27,20,0.74
2023-01-30,CA,321,28,16,0.57
2023-01-30,CA,332,46,16,0.35
2023-01-30,CA,717,31,13,0.42
2023-01-30,FA,NA,532,350,0.66
2023-01-30,FO,321,28,22,0.79
2023-01-30,FO,332,45,30,0.67
2023-01-30,FO,717,31,23,0.74
2023-01-31,CA,321,29,10,0.34
2023-01-31,CA,332,41,25,0.61
2023-01-31,CA,717,28,12,0.43
2023-01-31,FA,NA,502,377,0.75
2023-01-31,FO,321,29,17,0.59
2023-01-31,FO,332,41,33,0.8
2023-01-31,FO,717,28,19,0.68
2023-02-01,CA,321,29,10,0.34
2023-02-01,CA,332,42,28,0.67
2023-02-01,CA,717,29,13,0.45
2023-02-01,FA,NA,494,374,0.76
2023-02-01,FO,321,28,17,0.61
2023-02-01,FO,332,41,34,0.83
2023-02-01,FO,717,29,18,0.62
2023-02-02,CA,321,30,14,0.47
2023-02-02,CA,332,44,29,0.66
2023-02-02,CA,717,30,12,0.4
2023-02-02,FA,NA,517,371,0.72
2023-02-02,FO,321,29,17,0.59
2023-02-02,FO,332,41,36,0.88
2023-02-02,FO,717,30,18,0.6
2023-02-03,CA,321,30,14,0.47
2023-02-03,CA,332,42,25,0.6
2023-02-03,CA,717,31,12,0.39
2023-02-03,FA,NA,507,381,0.75
2023-02-03,FO,321,29,17,0.59
2023-02-03,FO,332,45,35,0.78
2023-02-03,FO,717,30,19,0.63
2023-02-04,CA,321,30,12,0.4
2023-02-04,CA,332,46,23,0.5
2023-02-04,CA,717,31,10,0.32
2023-02-04,FA,NA,533,389,0.73
2023-02-04,FO,321,29,17,0.59
2023-02-04,FO,332,46,32,0.7
2023-02-04,FO,717,31,13,0.42
2023-02-05,CA,321,31,11,0.35
2023-02-05,CA,332,42,18,0.43
2023-02-05,CA,717,29,11,0.38
2023-02-05,FA,NA,504,382,0.76
2023-02-05,FO,321,30,16,0.53
2023-02-05,FO,332,45,30,0.67
2023-02-05,FO,717,27,15,0.56
2023-02-06,CA,321,32,15,0.47
2023-02-06,CA,332,44,26,0.59
2023-02-06,CA,717,31,12,0.39
2023-02-06,FA,NA,524,350,0.67
2023-02-06,FO,321,30,18,0.6
2023-02-06,FO,332,45,35,0.78
2023-02-06,FO,717,31,17,0.55
2023-02-07,CA,321,29,16,0.55
2023-02-07,CA,332,42,29,0.69
2023-02-07,CA,717,29,12,0.41
2023-02-07,FA,NA,505,346,0.69
2023-02-07,FO,321,29,19,0.66
2023-02-07,FO,332,44,33,0.75
2023-02-07,FO,717,28,17,0.61
2023-02-08,CA,321,28,17,0.61
2023-02-08,CA,332,43,28,0.65
2023-02-08,CA,717,28,11,0.39
2023-02-08,FA,NA,514,348,0.68
2023-02-08,FO,321,28,18,0.64
2023-02-08,FO,332,45,32,0.71
2023-02-08,FO,717,28,19,0.68
2023-02-09,CA,321,30,15,0.5
2023-02-09,CA,332,45,28,0.62
2023-02-09,CA,717,30,12,0.4
2023-02-09,FA,NA,538,345,0.64
2023-02-09,FO,321,29,19,0.66
2023-02-09,FO,332,48,36,0.75
2023-02-09,FO,717,30,18,0.6
2023-02-10,CA,321,31,17,0.55
2023-02-10,CA,332,42,24,0.57
2023-02-10,CA,717,31,11,0.35
2023-02-10,FA,NA,510,345,0.68
2023-02-10,FO,321,30,18,0.6
2023-02-10,FO,332,41,37,0.9
2023-02-10,FO,717,31,19,0.61
2023-02-11,CA,321,30,11,0.37
2023-02-11,CA,332,46,19,0.41
2023-02-11,CA,717,29,10,0.34
2023-02-11,FA,NA,532,384,0.72
2023-02-11,FO,321,30,18,0.6
2023-02-11,FO,332,50,32,0.64
2023-02-11,FO,717,29,14,0.48
2023-02-12,CA,321,32,12,0.38
2023-02-12,CA,332,43,21,0.49
2023-02-12,CA,717,29,10,0.34
2023-02-12,FA,NA,503,418,0.83
2023-02-12,FO,321,30,23,0.77
2023-02-12,FO,332,45,38,0.84
2023-02-12,FO,717,29,19,0.66
2023-02-13,CA,321,31,13,0.42
2023-02-13,CA,332,45,22,0.49
2023-02-13,CA,717,30,12,0.4
2023-02-13,FA,NA,533,369,0.69
2023-02-13,FO,321,30,24,0.8
2023-02-13,FO,332,46,38,0.83
2023-02-13,FO,717,30,23,0.77
2023-02-14,CA,321,30,16,0.53
2023-02-14,CA,332,43,23,0.53
2023-02-14,CA,717,33,11,0.33
2023-02-14,FA,NA,502,343,0.68
2023-02-14,FO,321,29,22,0.76
2023-02-14,FO,332,43,33,0.77
2023-02-14,FO,717,32,24,0.75
2023-02-15,CA,321,32,18,0.56
2023-02-15,CA,332,42,25,0.6
2023-02-15,CA,717,31,13,0.42
2023-02-15,FA,NA,498,345,0.69
2023-02-15,FO,321,30,19,0.63
2023-02-15,FO,332,43,28,0.65
2023-02-15,FO,717,29,23,0.79
2023-02-16,CA,321,32,15,0.47
2023-02-16,CA,332,47,27,0.57
2023-02-16,CA,717,36,13,0.36
2023-02-16,FA,NA,539,341,0.63
2023-02-16,FO,321,31,20,0.65
2023-02-16,FO,332,46,34,0.74
2023-02-16,FO,717,34,21,0.62
2023-02-17,CA,321,33,13,0.39
2023-02-17,CA,332,43,26,0.6
2023-02-17,CA,717,37,11,0.3
2023-02-17,FA,NA,526,347,0.66
2023-02-17,FO,321,31,21,0.68
2023-02-17,FO,332,43,41,0.95
2023-02-17,FO,717,34,19,0.56
2023-02-18,CA,321,31,10,0.32
2023-02-18,CA,332,45,20,0.44
2023-02-18,CA,717,34,10,0.29
2023-02-18,FA,NA,533,380,0.71
2023-02-18,FO,321,30,16,0.53
2023-02-18,FO,332,44,36,0.82
2023-02-18,FO,717,36,16,0.44
2023-02-19,CA,321,30,12,0.4
2023-02-19,CA,332,44,21,0.48
2023-02-19,CA,717,31,10,0.32
2023-02-19,FA,NA,532,384,0.72
2023-02-19,FO,321,30,17,0.57
2023-02-19,FO,332,44,41,0.93
2023-02-19,FO,717,32,19,0.59
2023-02-20,CA,321,30,13,0.43
2023-02-20,CA,332,45,26,0.58
2023-02-20,CA,717,30,10,0.33
2023-02-20,FA,NA,523,380,0.73
2023-02-20,FO,321,30,17,0.57
2023-02-20,FO,332,46,42,0.91
2023-02-20,FO,717,30,21,0.7
2023-02-21,CA,321,32,14,0.44
2023-02-21,CA,332,41,27,0.66
2023-02-21,CA,717,32,11,0.34
2023-02-21,FA,NA,513,343,0.67
2023-02-21,FO,321,30,19,0.63
2023-02-21,FO,332,42,39,0.93
2023-02-21,FO,717,32,23,0.72
2023-02-22,CA,321,32,14,0.44
2023-02-22,CA,332,40,28,0.7
2023-02-22,CA,717,32,12,0.38
2023-02-22,FA,NA,497,338,0.68
2023-02-22,FO,321,31,19,0.61
2023-02-22,FO,332,41,38,0.93
2023-02-22,FO,717,31,22,0.71
2023-02-23,CA,321,30,17,0.57
2023-02-23,CA,332,39,30,0.77
2023-02-23,CA,717,32,11,0.34
2023-02-23,FA,NA,510,341,0.67
2023-02-23,FO,321,30,24,0.8
2023-02-23,FO,332,39,39,1
2023-02-23,FO,717,31,25,0.81
2023-02-24,CA,321,31,16,0.52
2023-02-24,CA,332,43,27,0.63
2023-02-24,CA,717,32,11,0.34
2023-02-24,FA,NA,516,339,0.66
2023-02-24,FO,321,31,22,0.71
2023-02-24,FO,332,42,38,0.9
2023-02-24,FO,717,33,25,0.76
2023-02-25,CA,321,32,14,0.44
2023-02-25,CA,332,44,21,0.48
2023-02-25,CA,717,29,14,0.48
2023-02-25,FA,NA,531,378,0.71
2023-02-25,FO,321,31,23,0.74
2023-02-25,FO,332,44,35,0.8
2023-02-25,FO,717,29,20,0.69
2023-02-26,CA,321,32,15,0.47
2023-02-26,CA,332,43,22,0.51
2023-02-26,CA,717,30,13,0.43
2023-02-26,FA,NA,517,380,0.74
2023-02-26,FO,321,31,25,0.81
2023-02-26,FO,332,42,39,0.93
2023-02-26,FO,717,29,24,0.83
2023-02-27,CA,321,33,19,0.58
2023-02-27,CA,332,43,30,0.7
2023-02-27,CA,717,31,14,0.45
2023-02-27,FA,NA,524,377,0.72
2023-02-27,FO,321,31,24,0.77
2023-02-27,FO,332,42,43,1.02
2023-02-27,FO,717,30,22,0.73
2023-02-28,CA,321,33,17,0.52
2023-02-28,CA,332,42,29,0.69
2023-02-28,CA,717,30,13,0.43
2023-02-28,FA,NA,493,375,0.76
2023-02-28,FO,321,30,26,0.87
2023-02-28,FO,332,40,45,1.12
2023-02-28,FO,717,31,23,0.74
2023-03-01,CA,321,30,14,0.47
2023-03-01,CA,332,39,28,0.72
2023-03-01,CA,717,30,13,0.43
2023-03-01,FA,NA,503,390,0.78
2023-03-01,FO,321,30,27,0.9
2023-03-01,FO,332,39,42,1.08
2023-03-01,FO,717,30,25,0.83
2023-03-02,CA,321,29,18,0.62
2023-03-02,CA,332,43,19,0.44
2023-03-02,CA,717,33,9,0.27
2023-03-02,FA,NA,533,276,0.52
2023-03-02,FO,321,29,23,0.79
2023-03-02,FO,332,42,30,0.71
2023-03-02,FO,717,31,15,0.48
2023-03-03,CA,321,28,19,0.68
2023-03-03,CA,332,42,17,0.4
2023-03-03,CA,717,32,10,0.31
2023-03-03,FA,NA,523,280,0.54
2023-03-03,FO,321,28,25,0.89
2023-03-03,FO,332,43,31,0.72
2023-03-03,FO,717,31,16,0.52
2023-03-04,CA,321,29,17,0.59
2023-03-04,CA,332,44,15,0.34
2023-03-04,CA,717,32,10,0.31
2023-03-04,FA,NA,538,288,0.54
2023-03-04,FO,321,29,21,0.72
2023-03-04,FO,332,44,31,0.7
2023-03-04,FO,717,30,15,0.5
2023-03-05,CA,321,31,19,0.61
2023-03-05,CA,332,44,17,0.39
2023-03-05,CA,717,27,10,0.37
2023-03-05,FA,NA,517,288,0.56
2023-03-05,FO,321,29,21,0.72
2023-03-05,FO,332,45,30,0.67
2023-03-05,FO,717,27,17,0.63
2023-03-06,CA,321,31,18,0.58
2023-03-06,CA,332,47,20,0.43
2023-03-06,CA,717,33,10,0.3
2023-03-06,FA,NA,540,294,0.54
2023-03-06,FO,321,28,23,0.82
2023-03-06,FO,332,46,32,0.7
2023-03-06,FO,717,32,17,0.53
2023-03-07,CA,321,30,15,0.5
2023-03-07,CA,332,43,22,0.51
2023-03-07,CA,717,29,10,0.34
2023-03-07,FA,NA,512,290,0.57
2023-03-07,FO,321,29,24,0.83
2023-03-07,FO,332,43,31,0.72
2023-03-07,FO,717,29,18,0.62
2023-03-08,CA,321,28,17,0.61
2023-03-08,CA,332,43,22,0.51
2023-03-08,CA,717,29,10,0.34
2023-03-08,FA,NA,520,282,0.54
2023-03-08,FO,321,28,23,0.82
2023-03-08,FO,332,43,34,0.79
2023-03-08,FO,717,29,18,0.62
2023-03-09,CA,321,29,22,0.76
2023-03-09,CA,332,47,21,0.45
2023-03-09,CA,717,33,10,0.3
2023-03-09,FA,NA,557,293,0.53
2023-03-09,FO,321,28,25,0.89
2023-03-09,FO,332,46,32,0.7
2023-03-09,FO,717,36,18,0.5
2023-03-10,CA,321,30,18,0.6
2023-03-10,CA,332,43,21,0.49
2023-03-10,CA,717,32,11,0.34
2023-03-10,FA,NA,533,298,0.56
2023-03-10,FO,321,30,25,0.83
2023-03-10,FO,332,44,32,0.73
2023-03-10,FO,717,32,17,0.53
2023-03-11,CA,321,30,13,0.43
2023-03-11,CA,332,44,18,0.41
2023-03-11,CA,717,31,10,0.32
2023-03-11,FA,NA,560,323,0.58
2023-03-11,FO,321,30,24,0.8
2023-03-11,FO,332,46,31,0.67
2023-03-11,FO,717,32,15,0.47
2023-03-12,CA,321,27,13,0.48
2023-03-12,CA,332,45,17,0.38
2023-03-12,CA,717,32,14,0.44
2023-03-12,FA,NA,554,322,0.58
2023-03-12,FO,321,27,23,0.85
2023-03-12,FO,332,45,30,0.67
2023-03-12,FO,717,31,17,0.55
2023-03-13,CA,321,29,16,0.55
2023-03-13,CA,332,46,20,0.43
2023-03-13,CA,717,32,13,0.41
2023-03-13,FA,NA,542,305,0.56
2023-03-13,FO,321,29,24,0.83
2023-03-13,FO,332,46,31,0.67
2023-03-13,FO,717,32,17,0.53
2023-03-14,CA,321,27,16,0.59
2023-03-14,CA,332,44,20,0.45
2023-03-14,CA,717,33,12,0.36
2023-03-14,FA,NA,525,311,0.59
2023-03-14,FO,321,27,26,0.96
2023-03-14,FO,332,44,30,0.68
2023-03-14,FO,717,31,19,0.61
2023-03-15,CA,321,28,14,0.5
2023-03-15,CA,332,42,22,0.52
2023-03-15,CA,717,32,12,0.38
2023-03-15,FA,NA,517,302,0.58
2023-03-15,FO,321,28,27,0.96
2023-03-15,FO,332,40,28,0.7
2023-03-15,FO,717,34,19,0.56
2023-03-16,CA,321,28,13,0.46
2023-03-16,CA,332,39,20,0.51
2023-03-16,CA,717,30,15,0.5
2023-03-16,FA,NA,509,321,0.63
2023-03-16,FO,321,28,28,1
2023-03-16,FO,332,39,29,0.74
2023-03-16,FO,717,31,19,0.61
2023-03-17,CA,321,28,11,0.39
2023-03-17,CA,332,45,18,0.4
2023-03-17,CA,717,34,13,0.38
2023-03-17,FA,NA,552,309,0.56
2023-03-17,FO,321,27,28,1.04
2023-03-17,FO,332,44,29,0.66
2023-03-17,FO,717,36,16,0.44
2023-03-18,CA,321,29,14,0.48
2023-03-18,CA,332,47,15,0.32
2023-03-18,CA,717,31,11,0.35
2023-03-18,FA,NA,539,319,0.59
2023-03-18,FO,321,29,26,0.9
2023-03-18,FO,332,47,27,0.57
2023-03-18,FO,717,30,13,0.43
2023-03-19,CA,321,28,18,0.64
2023-03-19,CA,332,47,18,0.38
2023-03-19,CA,717,29,11,0.38
2023-03-19,FA,NA,538,324,0.6
2023-03-19,FO,321,28,27,0.96
2023-03-19,FO,332,46,30,0.65
2023-03-19,FO,717,29,16,0.55
2023-03-20,CA,321,28,22,0.79
2023-03-20,CA,332,46,21,0.46
2023-03-20,CA,717,33,11,0.33
2023-03-20,FA,NA,551,293,0.53
2023-03-20,FO,321,28,25,0.89
2023-03-20,FO,332,47,28,0.6
2023-03-20,FO,717,32,15,0.47
2023-03-21,CA,321,28,21,0.75
2023-03-21,CA,332,43,24,0.56
2023-03-21,CA,717,31,10,0.32
2023-03-21,FA,NA,529,294,0.56
2023-03-21,FO,321,28,28,1
2023-03-21,FO,332,43,33,0.77
2023-03-21,FO,717,31,17,0.55
2023-03-22,CA,321,28,22,0.79
2023-03-22,CA,332,41,26,0.63
2023-03-22,CA,717,33,13,0.39
2023-03-22,FA,NA,519,282,0.54
2023-03-22,FO,321,28,25,0.89
2023-03-22,FO,332,43,30,0.7
2023-03-22,FO,717,32,14,0.44
2023-03-23,CA,321,28,21,0.75
2023-03-23,CA,332,44,23,0.52
2023-03-23,CA,717,36,12,0.33
2023-03-23,FA,NA,539,284,0.53
2023-03-23,FO,321,28,26,0.93
2023-03-23,FO,332,43,35,0.81
2023-03-23,FO,717,36,15,0.42
2023-03-24,CA,321,28,20,0.71
2023-03-24,CA,332,44,25,0.57
2023-03-24,CA,717,35,14,0.4
2023-03-24,FA,NA,537,288,0.54
2023-03-24,FO,321,28,26,0.93
2023-03-24,FO,332,45,34,0.76
2023-03-24,FO,717,33,15,0.45
2023-03-25,CA,321,28,19,0.68
2023-03-25,CA,332,43,22,0.51
2023-03-25,CA,717,29,11,0.38
2023-03-25,FA,NA,529,300,0.57
2023-03-25,FO,321,28,25,0.89
2023-03-25,FO,332,45,29,0.64
2023-03-25,FO,717,30,16,0.53
2023-03-26,CA,321,29,22,0.76
2023-03-26,CA,332,49,27,0.55
2023-03-26,CA,717,30,11,0.37
2023-03-26,FA,NA,553,294,0.53
2023-03-26,FO,321,28,24,0.86
2023-03-26,FO,332,49,29,0.59
2023-03-26,FO,717,30,19,0.63
2023-03-27,CA,321,30,21,0.7
2023-03-27,CA,332,48,29,0.6
2023-03-27,CA,717,35,11,0.31
2023-03-27,FA,NA,555,291,0.52
2023-03-27,FO,321,28,25,0.89
2023-03-27,FO,332,47,35,0.74
2023-03-27,FO,717,33,19,0.58
2023-03-28,CA,321,29,19,0.66
2023-03-28,CA,332,48,30,0.62
2023-03-28,CA,717,31,11,0.35
2023-03-28,FA,NA,532,303,0.57
2023-03-28,FO,321,28,26,0.93
2023-03-28,FO,332,45,37,0.82
2023-03-28,FO,717,31,22,0.71
2023-03-29,CA,321,28,20,0.71
2023-03-29,CA,332,45,30,0.67
2023-03-29,CA,717,30,12,0.4
2023-03-29,FA,NA,532,305,0.57
2023-03-29,FO,321,28,29,1.04
2023-03-29,FO,332,43,39,0.91
2023-03-29,FO,717,30,19,0.63
2023-03-30,CA,321,29,23,0.79
2023-03-30,CA,332,48,33,0.69
2023-03-30,CA,717,35,12,0.34
2023-03-30,FA,NA,555,304,0.55
2023-03-30,FO,321,28,29,1.04
2023-03-30,FO,332,45,37,0.82
2023-03-30,FO,717,36,19,0.53
2023-03-31,CA,321,29,20,0.69
2023-03-31,CA,332,47,30,0.64
2023-03-31,CA,717,38,12,0.32
2023-03-31,FA,NA,561,305,0.54
2023-03-31,FO,321,28,27,0.96
2023-03-31,FO,332,48,37,0.77
2023-03-31,FO,717,35,19,0.54
2023-04-01,CA,321,29,14,0.48
2023-04-01,CA,332,46,21,0.46
2023-04-01,CA,717,32,8,0.25
2023-04-01,FA,NA,565,322,0.57
2023-04-01,FO,321,28,18,0.64
2023-04-01,FO,332,46,25,0.54
2023-04-01,FO,717,30,12,0.4
2023-04-02,CA,321,28,17,0.61
2023-04-02,CA,332,48,24,0.5
2023-04-02,CA,717,31,10,0.32
2023-04-02,FA,NA,548,296,0.54
2023-04-02,FO,321,28,19,0.68
2023-04-02,FO,332,47,24,0.51
2023-04-02,FO,717,31,15,0.48
2023-04-03,CA,321,28,18,0.64
2023-04-03,CA,332,48,28,0.58
2023-04-03,CA,717,36,13,0.36
2023-04-03,FA,NA,569,287,0.5
2023-04-03,FO,321,28,20,0.71
2023-04-03,FO,332,47,26,0.55
2023-04-03,FO,717,34,16,0.47
2023-04-04,CA,321,28,20,0.71
2023-04-04,CA,332,46,30,0.65
2023-04-04,CA,717,32,14,0.44
2023-04-04,FA,NA,528,288,0.55
2023-04-04,FO,321,28,20,0.71
2023-04-04,FO,332,48,26,0.54
2023-04-04,FO,717,31,13,0.42
2023-04-05,CA,321,29,18,0.62
2023-04-05,CA,332,45,29,0.64
2023-04-05,CA,717,34,13,0.38
2023-04-05,FA,NA,537,273,0.51
2023-04-05,FO,321,28,19,0.68
2023-04-05,FO,332,45,27,0.6
2023-04-05,FO,717,35,13,0.37
2023-04-06,CA,321,31,15,0.48
2023-04-06,CA,332,46,29,0.63
2023-04-06,CA,717,35,13,0.37
2023-04-06,FA,NA,547,275,0.5
2023-04-06,FO,321,30,21,0.7
2023-04-06,FO,332,48,28,0.58
2023-04-06,FO,717,34,14,0.41
2023-04-07,CA,321,30,12,0.4
2023-04-07,CA,332,46,29,0.63
2023-04-07,CA,717,37,12,0.32
2023-04-07,FA,NA,559,282,0.5
2023-04-07,FO,321,30,20,0.67
2023-04-07,FO,332,47,26,0.55
2023-04-07,FO,717,35,13,0.37
2023-04-08,CA,321,29,16,0.55
2023-04-08,CA,332,45,25,0.56
2023-04-08,CA,717,30,12,0.4
2023-04-08,FA,NA,515,307,0.6
2023-04-08,FO,321,29,16,0.55
2023-04-08,FO,332,46,22,0.48
2023-04-08,FO,717,29,14,0.48
2023-04-09,CA,321,28,18,0.64
2023-04-09,CA,332,47,22,0.47
2023-04-09,CA,717,32,12,0.38
2023-04-09,FA,NA,538,323,0.6
